tv_shows_titles,tv_release_year,tv_genre,tv_imdb_rating,tv_duration,tv_age_rating,tv_production_country,tv_streaming_service,tv_show_url
Heeramandi: The Diamond Bazaar,2024.0,"Romance, Drama, History, War & Military",6.5,55min,Age rating not found for https://www.justwatch.com/in/tv-show/heeramandi,India,Netflix,https://www.justwatch.com/in/tv-show/heeramandi
Shōgun,2024.0,"War & Military, Drama, History",8.8,59min,Age rating not found for https://www.justwatch.com/in/tv-show/shogun-2024,United States,Hotstar,https://www.justwatch.com/in/tv-show/shogun-2024
Panchayat,2020.0,"Comedy, Drama",8.9,33min,Age rating not found for https://www.justwatch.com/in/tv-show/panchayat,India,Amazon Prime Video,https://www.justwatch.com/in/tv-show/panchayat
Mirzapur,2018.0,"Crime, Action & Adventure, Drama, Mystery & Thriller",8.5,50min,Age rating not found for https://www.justwatch.com/in/tv-show/mirzapur,India,Amazon Prime Video,https://www.justwatch.com/in/tv-show/mirzapur
Fallout,2024.0,"War & Military, Action & Adventure, Drama, Science-Fiction, Mystery & Thriller",8.5,59min,A,Production country not found for https://www.justwatch.com/in/tv-show/fallout,Streaming service not found for https://www.justwatch.com/in/tv-show/fallout,https://www.justwatch.com/in/tv-show/fallout
Game of Thrones,2011.0,"Action & Adventure, Drama, Fantasy, Science-Fiction",9.2,Duration not found for https://www.justwatch.com/in/tv-show/game-of-thrones,A,"United States, United Kingdom",Jio Cinema,https://www.justwatch.com/in/tv-show/game-of-thrones
Dead Boy Detectives,,"Action & Adventure, Comedy, Crime, Drama, Fantasy, Horror, Mystery & Thriller, Science-Fiction",7.6,54min,A,United States,Netflix,https://www.justwatch.com/in/tv-show/dead-boy-detectives
3 Body Problem,2024.0,"Science-Fiction, Mystery & Thriller, Drama, Fantasy",7.5,56min,A,United States,Netflix,https://www.justwatch.com/in/tv-show/3-body-problem
Young Sheldon,2017.0,Comedy,7.7,20min,U,United States,Amazon Prime Video,https://www.justwatch.com/in/tv-show/young-sheldon
Murder in Mahim,2024.0,,7.6,42min,Age rating not found for https://www.justwatch.com/in/tv-show/murder-in-mahim,India,Jio Cinema,https://www.justwatch.com/in/tv-show/murder-in-mahim
Baby Reindeer,2024.0,"Drama, Comedy",7.9,34min,Age rating not found for https://www.justwatch.com/in/tv-show/baby-reindeer,Production country not found for https://www.justwatch.com/in/tv-show/baby-reindeer,Netflix,https://www.justwatch.com/in/tv-show/baby-reindeer
Apharan,2018.0,"Drama, Action & Adventure, Crime, Mystery & Thriller",8.3,24min,Age rating not found for https://www.justwatch.com/in/tv-show/apharan,India,Streaming service not found for https://www.justwatch.com/in/tv-show/apharan,https://www.justwatch.com/in/tv-show/apharan
Attack on Titan,2013.0,"Fantasy, Horror, Animation, Action & Adventure, Drama, Science-Fiction",9.0,Duration not found for https://www.justwatch.com/in/tv-show/attack-on-titan,UA,Japan,Amazon Prime Video,https://www.justwatch.com/in/tv-show/attack-on-titan
Sunflower,,"Comedy, Crime",7.4,38min,A,India,Zee5,https://www.justwatch.com/in/tv-show/sunflower-2021
Bridgerton,2020.0,"Drama, Romance",7.4,1h 1min,A,United States,Netflix,https://www.justwatch.com/in/tv-show/bridgerton
Maxton Hall: The World Between Us,2024.0,"Drama, Romance",7.7,47min,Age rating not found for https://www.justwatch.com/in/tv-show/maxton-hall-the-world-between-us,Germany,Amazon Prime Video,https://www.justwatch.com/in/tv-show/maxton-hall-the-world-between-us
Aashram,2020.0,"Crime, Drama, Mystery & Thriller",7.4,43min,Age rating not found for https://www.justwatch.com/in/tv-show/aashram,India,MX Player,https://www.justwatch.com/in/tv-show/aashram
Dil Dosti Dilemma,2024.0,"Drama, Comedy",6.6,40min,Age rating not found for https://www.justwatch.com/in/tv-show/dil-dosti-dilemma,India,Amazon Prime Video,https://www.justwatch.com/in/tv-show/dil-dosti-dilemma
Lucifer,2016.0,"Science-Fiction, Crime, Drama, Fantasy",8.1,47min,U,Production country not found for https://www.justwatch.com/in/tv-show/lucifer,Streaming service not found for https://www.justwatch.com/in/tv-show/lucifer,https://www.justwatch.com/in/tv-show/lucifer
"Thank You, Next",2024.0,"Drama, Romance, Comedy",5.6,Duration not found for https://www.justwatch.com/in/tv-show/thank-you-next,Age rating not found for https://www.justwatch.com/in/tv-show/thank-you-next,Turkey,Netflix,https://www.justwatch.com/in/tv-show/thank-you-next
A Gentleman in Moscow,,"Drama, History, Mystery & Thriller",7.1,48min,Age rating not found for https://www.justwatch.com/in/tv-show/a-gentleman-in-moscow,United Kingdom,Amazon Prime Video,https://www.justwatch.com/in/tv-show/a-gentleman-in-moscow
Farzi,2023.0,"Crime, Drama, Mystery & Thriller",8.4,56min,Age rating not found for https://www.justwatch.com/in/tv-show/farzi,India,Amazon Prime Video,https://www.justwatch.com/in/tv-show/farzi
Ranneeti: Balakot & Beyond,2024.0,Action & Adventure,7.8,40min,Age rating not found for https://www.justwatch.com/in/tv-show/ranneeti-balakot-and-beyond,India,Jio Cinema,https://www.justwatch.com/in/tv-show/ranneeti-balakot-and-beyond
Inspector Rishi,2024.0,"Horror, Drama, Mystery & Thriller, Action & Adventure",7.2,45min,A,India,Amazon Prime Video,https://www.justwatch.com/in/tv-show/inspector-rishi
Mastram,2020.0,"Drama, Comedy, Fantasy",7.1,28min,Age rating not found for https://www.justwatch.com/in/tv-show/mastram,India,Streaming service not found for https://www.justwatch.com/in/tv-show/mastram,https://www.justwatch.com/in/tv-show/mastram
The Great Indian Kapil Show,2024.0,Comedy,6.6,Duration not found for https://www.justwatch.com/in/tv-show/untitled-kapil-sharma-netflix-project,Age rating not found for https://www.justwatch.com/in/tv-show/untitled-kapil-sharma-netflix-project,Production country not found for https://www.justwatch.com/in/tv-show/untitled-kapil-sharma-netflix-project,Streaming service not found for https://www.justwatch.com/in/tv-show/untitled-kapil-sharma-netflix-project,https://www.justwatch.com/in/tv-show/untitled-kapil-sharma-netflix-project
Dark Matter,2024.0,"Mystery & Thriller, Drama, Science-Fiction",7.4,53min,A,United States,Apple TV Plus,https://www.justwatch.com/in/tv-show/dark-matter-2024
The Family Man,,"Comedy, Drama, Action & Adventure",8.7,45min,Age rating not found for https://www.justwatch.com/in/tv-show/the-family-man,India,Amazon Prime Video,https://www.justwatch.com/in/tv-show/the-family-man
Queen of Tears,2024.0,"Comedy, Drama, Kids & Family",,1h 29min,Age rating not found for https://www.justwatch.com/in/tv-show/queen-of-tears,South Korea,Netflix,https://www.justwatch.com/in/tv-show/queen-of-tears
Gandii Baat,2018.0,"Crime, Drama, Mystery & Thriller",3.4,44min,A,India,Alt Balaji,https://www.justwatch.com/in/tv-show/gandii-baat
Solo Leveling,2024.0,"Fantasy, Animation, Action & Adventure, Science-Fiction",8.3,24min,Age rating not found for https://www.justwatch.com/in/tv-show/solo-leveling-2024,"Japan, South Korea",Crunchyroll,https://www.justwatch.com/in/tv-show/solo-leveling-2024
Demon Slayer: Kimetsu no Yaiba,2019.0,"Action & Adventure, Fantasy, Mystery & Thriller, Animation, Science-Fiction",8.7,26min,Age rating not found for https://www.justwatch.com/in/tv-show/demon-slayer-kimetsu-no-yaiba,Japan,Netflix,https://www.justwatch.com/in/tv-show/demon-slayer-kimetsu-no-yaiba
House of the Dragon,2022.0,"Science-Fiction, Drama, Action & Adventure, Fantasy, Romance",8.4,1h 2min,A,Production country not found for https://www.justwatch.com/in/tv-show/house-of-the-dragon,Streaming service not found for https://www.justwatch.com/in/tv-show/house-of-the-dragon,https://www.justwatch.com/in/tv-show/house-of-the-dragon
Asur: Welcome to Your Dark Side,,"Drama, Mystery & Thriller, Crime",8.5,Duration not found for https://www.justwatch.com/in/tv-show/asur,Age rating not found for https://www.justwatch.com/in/tv-show/asur,India,Jio Cinema,https://www.justwatch.com/in/tv-show/asur
Broken But Beautiful,2018.0,"Drama, Romance",8.6,26min,Age rating not found for https://www.justwatch.com/in/tv-show/broken-but-beautiful,India,Alt Balaji,https://www.justwatch.com/in/tv-show/broken-but-beautiful
The Gentlemen,2024.0,"Action & Adventure, Comedy, Crime, Drama",8.1,50min,A,"United Kingdom, United States",Netflix,https://www.justwatch.com/in/tv-show/the-gentlemen
Jujutsu Kaisen,2020.0,"Science-Fiction, Action & Adventure, Fantasy, Mystery & Thriller, Animation",8.6,23min,Age rating not found for https://www.justwatch.com/in/tv-show/jujutsu-kaisen,Japan,Netflix,https://www.justwatch.com/in/tv-show/jujutsu-kaisen
The Rookie,2018.0,"Crime, Drama, Comedy, Action & Adventure",8.0,43min,Age rating not found for https://www.justwatch.com/in/tv-show/the-rookie,United States,Streaming service not found for https://www.justwatch.com/in/tv-show/the-rookie,https://www.justwatch.com/in/tv-show/the-rookie
The 8 Show,2024.0,"Drama, Mystery & Thriller, Comedy",7.3,52min,Age rating not found for https://www.justwatch.com/in/tv-show/the-8-show,South Korea,Netflix,https://www.justwatch.com/in/tv-show/the-8-show
Goodbye Earth,,"Drama, Science-Fiction, Mystery & Thriller",4.3,Duration not found for https://www.justwatch.com/in/tv-show/goodbye-earth,Age rating not found for https://www.justwatch.com/in/tv-show/goodbye-earth,South Korea,Streaming service not found for https://www.justwatch.com/in/tv-show/goodbye-earth,https://www.justwatch.com/in/tv-show/goodbye-earth
The Walking Dead,2010.0,"Action & Adventure, Drama, Science-Fiction, Horror, Mystery & Thriller",8.1,46min,U,Production country not found for https://www.justwatch.com/in/tv-show/the-walking-dead,Netflix,https://www.justwatch.com/in/tv-show/the-walking-dead
Undekhi,2020.0,"Drama, Crime",,34min,Age rating not found for https://www.justwatch.com/in/tv-show/undekhi,India,Sony Liv,https://www.justwatch.com/in/tv-show/undekhi
Ripley,2024.0,"Crime, Drama, Mystery & Thriller",8.2,56min,Age rating not found for https://www.justwatch.com/in/tv-show/ripley,United States,Netflix,https://www.justwatch.com/in/tv-show/ripley
Modern Family,2009.0,"Romance, Comedy, Drama",8.5,21min,Age rating not found for https://www.justwatch.com/in/tv-show/modern-family,United States,Hotstar,https://www.justwatch.com/in/tv-show/modern-family
Gullak,2019.0,"Comedy, Drama, Kids & Family",9.1,29min,Age rating not found for https://www.justwatch.com/in/tv-show/gullak,India,Sony Liv,https://www.justwatch.com/in/tv-show/gullak
Reacher,2022.0,"Action & Adventure, Crime, Drama, Mystery & Thriller",8.1,48min,A,United States,Amazon Prime Video,https://www.justwatch.com/in/tv-show/jack-reacher
The Last of Us,,"Drama, Horror, Science-Fiction, Mystery & Thriller, Action & Adventure",8.7,58min,A,United States,Streaming service not found for https://www.justwatch.com/in/tv-show/the-last-of-us,https://www.justwatch.com/in/tv-show/the-last-of-us
We Were the Lucky Ones,2024.0,Drama,7.3,Duration not found for https://www.justwatch.com/in/tv-show/we-were-the-lucky-ones,Age rating not found for https://www.justwatch.com/in/tv-show/we-were-the-lucky-ones,Production country not found for https://www.justwatch.com/in/tv-show/we-were-the-lucky-ones,Hotstar,https://www.justwatch.com/in/tv-show/we-were-the-lucky-ones
Euphoria,2019.0,Drama,8.3,58min,A,United States,Jio Cinema,https://www.justwatch.com/in/tv-show/euphoria
The Good Doctor,2017.0,Drama,8.0,43min,Age rating not found for https://www.justwatch.com/in/tv-show/the-good-doctor,United States,Netflix,https://www.justwatch.com/in/tv-show/the-good-doctor
Dehati Ladke,2023.0,Drama,7.2,24min,Age rating not found for https://www.justwatch.com/in/tv-show/dehati-ladke,India,Amazon miniTV,https://www.justwatch.com/in/tv-show/dehati-ladke
MTV Splitsvilla,2008.0,"Reality TV, Drama, Romance",3.8,43min,U,India,Jio Cinema,https://www.justwatch.com/in/tv-show/mtv-splitsvilla
How I Met Your Mother,,"Comedy, Drama, Romance",8.3,24min,U,United States,Hotstar,https://www.justwatch.com/in/tv-show/how-i-met-your-mother
Stranger Things,2016.0,"Drama, Science-Fiction, Mystery & Thriller, Fantasy, Horror",8.7,Duration not found for https://www.justwatch.com/in/tv-show/stranger-things,Age rating not found for https://www.justwatch.com/in/tv-show/stranger-things,Production country not found for https://www.justwatch.com/in/tv-show/stranger-things,Netflix,https://www.justwatch.com/in/tv-show/stranger-things
Peaky Blinders,2013.0,"Crime, Drama",8.8,58min,A,United Kingdom,Streaming service not found for https://www.justwatch.com/in/tv-show/peaky-blinders,https://www.justwatch.com/in/tv-show/peaky-blinders
House,2004.0,"Drama, Mystery & Thriller",8.7,44min,U,United States,Netflix,https://www.justwatch.com/in/tv-show/house
True Detective,2014.0,"Drama, Crime, Mystery & Thriller",8.9,1h 1min,U,United States,Jio Cinema,https://www.justwatch.com/in/tv-show/true-detective
Brigands: The Quest for Gold,2024.0,"Drama, History, Action & Adventure",5.6,51min,Age rating not found for https://www.justwatch.com/in/tv-show/brigands-the-quest-for-gold,Italy,Netflix,https://www.justwatch.com/in/tv-show/brigands-the-quest-for-gold
Naruto,2002.0,"Animation, Action & Adventure, Science-Fiction, Fantasy, Comedy",8.4,23min,Age rating not found for https://www.justwatch.com/in/tv-show/naruto,Japan,Netflix,https://www.justwatch.com/in/tv-show/naruto
Money Heist,,"Crime, Drama, Mystery & Thriller, Action & Adventure, Made in Europe",8.2,50min,Age rating not found for https://www.justwatch.com/in/tv-show/paperhouse,Spain,Netflix,https://www.justwatch.com/in/tv-show/paperhouse
Maamla Legal Hai,2024.0,"Drama, Comedy",8.1,Duration not found for https://www.justwatch.com/in/tv-show/maamla-legal-hai,Age rating not found for https://www.justwatch.com/in/tv-show/maamla-legal-hai,Production country not found for https://www.justwatch.com/in/tv-show/maamla-legal-hai,Streaming service not found for https://www.justwatch.com/in/tv-show/maamla-legal-hai,https://www.justwatch.com/in/tv-show/maamla-legal-hai
Naruto Shippūden,2007.0,"Action & Adventure, Science-Fiction, Fantasy, Animation, Comedy, Drama",8.7,24min,U,Japan,Netflix,https://www.justwatch.com/in/tv-show/naruto-shippuden
College Romance,2018.0,"Drama, Comedy, Romance",8.3,31min,A,India,Sony Liv,https://www.justwatch.com/in/tv-show/college-romance
The Atypical Family,2024.0,"Science-Fiction, Drama, Action & Adventure, Fantasy, Romance",7.4,1h 13min,Age rating not found for https://www.justwatch.com/in/tv-show/the-atypical-family,South Korea,Netflix,https://www.justwatch.com/in/tv-show/the-atypical-family
Breaking Bad,2008.0,"Crime, Drama, Mystery & Thriller",9.5,47min,U,United States,Netflix,https://www.justwatch.com/in/tv-show/breaking-bad
Dark Desire,,"Mystery & Thriller, Drama",6.5,34min,Age rating not found for https://www.justwatch.com/in/tv-show/dark-desire,Mexico,Netflix,https://www.justwatch.com/in/tv-show/dark-desire
The GOAT,2024.0,Reality TV,6.0,48min,Age rating not found for https://www.justwatch.com/in/tv-show/the-goat,United States,Amazon Prime Video,https://www.justwatch.com/in/tv-show/the-goat
Maharani,2021.0,Drama,7.9,44min,UA,Production country not found for https://www.justwatch.com/in/tv-show/maharani-2021,Streaming service not found for https://www.justwatch.com/in/tv-show/maharani-2021,https://www.justwatch.com/in/tv-show/maharani-2021
Scam 1992,2020.0,"Crime, Drama, Mystery & Thriller",9.3,52min,Age rating not found for https://www.justwatch.com/in/tv-show/scam-1992,India,Sony Liv,https://www.justwatch.com/in/tv-show/scam-1992
X-Men '97,2024.0,"Animation, Action & Adventure, Science-Fiction, Fantasy",9.0,Duration not found for https://www.justwatch.com/in/tv-show/x-men-97,Age rating not found for https://www.justwatch.com/in/tv-show/x-men-97,United States,Hotstar,https://www.justwatch.com/in/tv-show/x-men-97
Grey's Anatomy,2005.0,"Drama, Romance",7.6,48min,Age rating not found for https://www.justwatch.com/in/tv-show/greys-anatomy,United States,Hotstar,https://www.justwatch.com/in/tv-show/greys-anatomy
Dr. Arora,2022.0,"Comedy, Drama",7.1,37min,A,India,Sony Liv,https://www.justwatch.com/in/tv-show/dr-arora
Bodkin,,"Drama, Mystery & Thriller, Comedy",7.0,50min,A,United States,Netflix,https://www.justwatch.com/in/tv-show/bodkin
Paatal Lok,2020.0,"Drama, Crime, Mystery & Thriller",8.1,43min,A,India,Amazon Prime Video,https://www.justwatch.com/in/tv-show/paatal-lok
Yellowstone,2018.0,"Drama, Western",8.7,50min,Age rating not found for https://www.justwatch.com/in/tv-show/yellowstone,United States,Netflix,https://www.justwatch.com/in/tv-show/yellowstone
One-Punch Man,2015.0,"Action & Adventure, Animation, Comedy, Kids & Family, Fantasy, Science-Fiction",8.7,24min,Age rating not found for https://www.justwatch.com/in/tv-show/one-punch-man,Production country not found for https://www.justwatch.com/in/tv-show/one-punch-man,Amazon Prime Video,https://www.justwatch.com/in/tv-show/one-punch-man
Doctor Who,2005.0,"Science-Fiction, Action & Adventure, Drama",8.6,Duration not found for https://www.justwatch.com/in/tv-show/doctor-who,Age rating not found for https://www.justwatch.com/in/tv-show/doctor-who,United Kingdom,Amazon Prime Video,https://www.justwatch.com/in/tv-show/doctor-who
The Boys,2019.0,"Action & Adventure, Science-Fiction, Comedy, Crime, Drama",8.7,1h 0min,A,United States,Streaming service not found for https://www.justwatch.com/in/tv-show/the-boys,https://www.justwatch.com/in/tv-show/the-boys
The Flash,,"Action & Adventure, Drama, Science-Fiction",7.5,45min,Age rating not found for https://www.justwatch.com/in/tv-show/the-flash,United States,Streaming service not found for https://www.justwatch.com/in/tv-show/the-flash,https://www.justwatch.com/in/tv-show/the-flash
Them,2021.0,"Mystery & Thriller, Drama, Horror",7.5,41min,Age rating not found for https://www.justwatch.com/in/tv-show/them,United States,Amazon Prime Video,https://www.justwatch.com/in/tv-show/them
Sugar,2024.0,"Drama, Mystery & Thriller, Crime",7.6,36min,Age rating not found for https://www.justwatch.com/in/tv-show/sugar,United States,Apple TV Plus,https://www.justwatch.com/in/tv-show/sugar
Maigret,2016.0,"Drama, Mystery & Thriller, Crime",7.8,1h 28min,U,United Kingdom,Streaming service not found for https://www.justwatch.com/in/tv-show/maigret,https://www.justwatch.com/in/tv-show/maigret
Invincible,2021.0,"Science-Fiction, Action & Adventure, Drama, Animation, Fantasy, Mystery & Thriller",8.7,48min,Age rating not found for https://www.justwatch.com/in/tv-show/invincible,Production country not found for https://www.justwatch.com/in/tv-show/invincible,Amazon Prime Video,https://www.justwatch.com/in/tv-show/invincible
Damaged,2018.0,"Drama, Crime, Horror, Mystery & Thriller",5.5,Duration not found for https://www.justwatch.com/in/tv-show/damaged,Age rating not found for https://www.justwatch.com/in/tv-show/damaged,India,VI movies and tv,https://www.justwatch.com/in/tv-show/damaged
Loki,2021.0,"Fantasy, Science-Fiction, Action & Adventure, Drama",8.2,49min,Age rating not found for https://www.justwatch.com/in/tv-show/loki,United States,Hotstar,https://www.justwatch.com/in/tv-show/loki
Sarkaar,2021.0,Reality TV,7.5,52min,Age rating not found for https://www.justwatch.com/in/tv-show/sarkaar,India,Streaming service not found for https://www.justwatch.com/in/tv-show/sarkaar,https://www.justwatch.com/in/tv-show/sarkaar
The Railway Men - The Untold Story of Bhopal 1984,,"Drama, History, Mystery & Thriller",8.5,59min,Age rating not found for https://www.justwatch.com/in/tv-show/the-railway-men-the-untold-story-of-bhopal-1984,India,Netflix,https://www.justwatch.com/in/tv-show/the-railway-men-the-untold-story-of-bhopal-1984
9-1-1,2018.0,"Drama, Crime, Action & Adventure, Mystery & Thriller",7.9,43min,Age rating not found for https://www.justwatch.com/in/tv-show/9-1-1,United States,Hotstar,https://www.justwatch.com/in/tv-show/9-1-1
"Ashley Madison: Sex, Lies & Scandal",2024.0,Documentary,6.3,52min,Age rating not found for https://www.justwatch.com/in/tv-show/ashley-madison-sex-lies-and-scandal,United Kingdom,Netflix,https://www.justwatch.com/in/tv-show/ashley-madison-sex-lies-and-scandal
The Broken News,2022.0,"Drama, Mystery & Thriller",7.6,36min,UA,Production country not found for https://www.justwatch.com/in/tv-show/the-broken-news,Zee5,https://www.justwatch.com/in/tv-show/the-broken-news
Shrimad Ramayan,2024.0,"Kids & Family, Fantasy, Drama",9.3,Duration not found for https://www.justwatch.com/in/tv-show/shrimad-ramayan,Age rating not found for https://www.justwatch.com/in/tv-show/shrimad-ramayan,India,Sony Liv,https://www.justwatch.com/in/tv-show/shrimad-ramayan
Chacha Vidhayak Hain Hamare,2018.0,Comedy,7.6,26min,Age rating not found for https://www.justwatch.com/in/tv-show/chacha-vidhayak-hain-hamare,India,Amazon miniTV,https://www.justwatch.com/in/tv-show/chacha-vidhayak-hain-hamare
Genius,,"Drama, History",8.2,51min,U,United States,Streaming service not found for https://www.justwatch.com/in/tv-show/genius,https://www.justwatch.com/in/tv-show/genius
Lootere,2024.0,"Action & Adventure, Crime",7.0,45min,Age rating not found for https://www.justwatch.com/in/tv-show/lootere,India,Hotstar,https://www.justwatch.com/in/tv-show/lootere
You,2018.0,"Drama, Crime, Romance, Mystery & Thriller",7.7,48min,A,United States,Netflix,https://www.justwatch.com/in/tv-show/you
Spartacus,2010.0,"Drama, Romance, Action & Adventure",8.5,52min,Age rating not found for https://www.justwatch.com/in/tv-show/spartacus,United States,Lionsgate Play,https://www.justwatch.com/in/tv-show/spartacus
Better Call Saul,2015.0,"Crime, Drama",9.0,50min,A,United States,Netflix,https://www.justwatch.com/in/tv-show/better-call-saul
Wednesday,2022.0,"Science-Fiction, Mystery & Thriller, Comedy, Fantasy, Crime, Kids & Family, Horror",8.1,Duration not found for https://www.justwatch.com/in/tv-show/wednesday,Age rating not found for https://www.justwatch.com/in/tv-show/wednesday,United States,Netflix,https://www.justwatch.com/in/tv-show/wednesday
Kaiju No. 8,2024.0,"Action & Adventure, Fantasy, Horror, Science-Fiction, Animation",8.3,23min,Age rating not found for https://www.justwatch.com/in/tv-show/kaiju-no-8,Production country not found for https://www.justwatch.com/in/tv-show/kaiju-no-8,Streaming service not found for https://www.justwatch.com/in/tv-show/kaiju-no-8,https://www.justwatch.com/in/tv-show/kaiju-no-8
MasterChef Australia,,Reality TV,8.2,54min,Age rating not found for https://www.justwatch.com/in/tv-show/masterchef-australia,Australia,Hotstar,https://www.justwatch.com/in/tv-show/masterchef-australia
